Index, Heading, X, Y, East, North, Velocity
3, -88.8563, 207.509, 1818.46, 199.875, 766.725, 0
3, -88.8563, 207.509, 1818.46, 199.875, 766.725, 0
3, -88.8563, 207.509, 1818.46, 199.875, 766.725, 0
3, -88.8585, 207.509, 1818.46, 199.875, 766.724, 0.729582
3, -88.8621, 207.509, 1818.46, 199.875, 766.723, 0.897763
3, -88.8662, 207.509, 1818.46, 199.875, 766.722, 0.952959
3, -88.8679, 207.509, 1818.46, 199.875, 766.722, 0.914773
3, -88.8689, 207.509, 1818.46, 199.875, 766.721, 0.807213
3, -88.8695, 207.509, 1818.46, 199.875, 766.721, 0.655593
3, -88.8701, 207.509, 1818.46, 199.875, 766.721, 0.484398
3, -88.8708, 207.509, 1818.46, 199.875, 766.719, 0.317631
3, -88.8712, 207.509, 1818.46, 199.875, 766.718, 0.185871
3, -88.8715, 207.509, 1818.46, 199.875, 766.718, 0.147241
3, -88.8717, 207.509, 1818.46, 199.875, 766.717, 0.19962
3, -88.872, 207.509, 1818.46, 199.875, 766.716, 0.260327
3, -88.8725, 207.509, 1818.45, 199.875, 766.715, 0.301848
3, -88.8727, 207.509, 1818.45, 199.875, 766.714, 0.322478
3, -88.873, 207.509, 1818.45, 199.875, 766.713, 0.32789
3, -88.8733, 207.509, 1818.45, 199.875, 766.712, 0.326943
3, -88.8735, 207.509, 1818.45, 199.875, 766.71, 0.329431
3, -88.8737, 207.509, 1818.45, 199.875, 766.709, 0.343731
3, -88.8741, 207.509, 1818.44, 199.875, 766.706, 0.374254
3, -88.8743, 207.509, 1818.44, 199.876, 766.704, 0.420788
3, -88.8745, 207.509, 1818.44, 199.876, 766.701, 0.481036
3, -88.8747, 207.509, 1818.44, 199.876, 766.7, 0.55285
3, -88.8752, 207.509, 1818.43, 199.876, 766.694, 0.727019
3, -88.8755, 207.509, 1818.43, 199.876, 766.69, 0.727019
3, -88.8758, 207.509, 1818.43, 199.876, 766.687, 0.828968
3, -88.8763, 207.509, 1818.42, 199.876, 766.681, 0.94053
3, -88.8767, 207.509, 1818.42, 199.877, 766.677, 1.0614
3, -88.8774, 207.51, 1818.41, 199.877, 766.668, 1.19067
3, -88.8779, 207.51, 1818.4, 199.877, 766.662, 1.32707
3, -88.8784, 207.51, 1818.39, 199.878, 766.655, 1.46968
3, -88.879, 207.51, 1818.39, 199.878, 766.647, 1.61696
3, -88.8795, 207.51, 1818.38, 199.878, 766.639, 1.76728
3, -88.8805, 207.51, 1818.36, 199.879, 766.624, 1.91997
3, -88.8811, 207.511, 1818.35, 199.879, 766.614, 2.07404
3, -88.8819, 207.511, 1818.34, 199.88, 766.601, 2.22854
3, -88.8823, 207.511, 1818.33, 199.88, 766.593, 2.38326
3, -88.8829, 207.511, 1818.32, 199.88, 766.582, 2.53783
3, -88.8837, 207.511, 1818.31, 199.881, 766.567, 2.69186
3, -88.8848, 207.512, 1818.28, 199.882, 766.544, 2.84536
3, -88.8853, 207.512, 1818.27, 199.883, 766.531, 2.9984
3, -88.8859, 207.512, 1818.26, 199.883, 766.517, 3.15096
3, -88.8867, 207.512, 1818.24, 199.884, 766.498, 3.303
3, -88.8878, 207.513, 1818.21, 199.885, 766.47, 3.45457
3, -88.8885, 207.513, 1818.19, 199.886, 766.453, 3.60567
3, -88.8892, 207.513, 1818.17, 199.886, 766.434, 3.75628
3, -88.8897, 207.514, 1818.16, 199.887, 766.42, 3.90644
3, -88.8904, 207.514, 1818.14, 199.888, 766.402, 4.05618
3, -88.8912, 207.514, 1818.12, 199.888, 766.378, 4.2055
3, -88.892, 207.515, 1818.08, 199.89, 766.345, 4.35444
3, -88.8925, 207.515, 1818.06, 199.891, 766.323, 4.50302
3, -88.8931, 207.515, 1818.03, 199.892, 766.295, 4.65125
3, -88.8938, 207.516, 1818, 199.893, 766.265, 4.79915
3, -88.8942, 207.516, 1817.98, 199.893, 766.246, 4.94671
3, -88.8949, 207.517, 1817.95, 199.895, 766.208, 5.09395
3, -88.8953, 207.517, 1817.92, 199.896, 766.183, 5.24086
3, -88.8958, 207.518, 1817.89, 199.897, 766.148, 5.38748
3, -88.8963, 207.518, 1817.86, 199.898, 766.121, 5.53381
3, -88.8967, 207.518, 1817.83, 199.899, 766.095, 5.67987
3, -88.8971, 207.519, 1817.81, 199.9, 766.075, 5.82565
3, -88.8981, 207.519, 1817.76, 199.902, 766.022, 5.97118
3, -88.8987, 207.52, 1817.73, 199.903, 765.992, 6.11649
3, -88.8993, 207.52, 1817.7, 199.904, 765.96, 6.26156
3, -88.8999, 207.521, 1817.67, 199.905, 765.934, 6.4064
3, -88.9004, 207.521, 1817.65, 199.906, 765.911, 6.55102
3, -88.9016, 207.522, 1817.59, 199.909, 765.849, 6.6954
3, -88.9022, 207.523, 1817.55, 199.91, 765.813, 6.83958
3, -88.9026, 207.523, 1817.52, 199.911, 765.777, 6.98354
3, -88.9029, 207.523, 1817.49, 199.912, 765.755, 7.12729
3, -88.9034, 207.524, 1817.45, 199.914, 765.71, 7.27085
3, -88.9043, 207.525, 1817.39, 199.916, 765.649, 7.4142
3, -88.9048, 207.526, 1817.35, 199.918, 765.616, 7.55737
3, -88.9054, 207.526, 1817.32, 199.919, 765.577, 7.70035
3, -88.9061, 207.527, 1817.27, 199.921, 765.536, 7.84315
3, -88.9072, 207.528, 1817.21, 199.923, 765.473, 7.98578
3, -88.9079, 207.528, 1817.17, 199.925, 765.436, 8.12824
3, -88.9087, 207.529, 1817.13, 199.926, 765.394, 8.27054
3, -88.9096, 207.53, 1817.09, 199.928, 765.348, 8.41267
3, -88.9101, 207.53, 1817.05, 199.929, 765.313, 8.55465
3, -88.9109, 207.531, 1816.98, 199.932, 765.245, 8.69643
3, -88.9113, 207.532, 1816.94, 199.934, 765.2, 8.83806
3, -88.912, 207.533, 1816.88, 199.936, 765.145, 8.97952
3, -88.9124, 207.533, 1816.84, 199.937, 765.106, 9.12081
3, -88.9128, 207.534, 1816.81, 199.938, 765.076, 9.26194
3, -88.9135, 207.534, 1816.77, 199.94, 765.028, 9.40295
3, -88.9152, 207.536, 1816.67, 199.944, 764.93, 9.54381
3, -88.9157, 207.536, 1816.63, 199.945, 764.897, 9.6845
3, -88.9166, 207.537, 1816.59, 199.947, 764.848, 9.82506
3, -88.9171, 207.538, 1816.55, 199.949, 764.809, 9.96553
3, -88.9179, 207.539, 1816.46, 199.952, 764.72, 10.1058
3, -88.9184, 207.54, 1816.4, 199.954, 764.662, 10.246
3, -88.9186, 207.541, 1816.34, 199.957, 764.6, 10.3861
3, -88.9187, 207.541, 1816.3, 199.958, 764.559, 10.526
3, -88.9188, 207.542, 1816.26, 199.96, 764.524, 10.6657
3, -88.9192, 207.543, 1816.2, 199.962, 764.459, 10.8053
3, -88.9199, 207.544, 1816.11, 199.965, 764.374, 10.9446
3, -88.9204, 207.545, 1816.05, 199.968, 764.314, 11.0838
3, -88.921, 207.546, 1816, 199.97, 764.262, 11.223
3, -88.9216, 207.546, 1815.96, 199.971, 764.22, 11.3619
3, -88.9232, 207.548, 1815.85, 199.975, 764.11, 11.5008
3, -88.9237, 207.549, 1815.8, 199.977, 764.058, 11.6396
3, -88.9242, 207.549, 1815.74, 199.98, 764, 11.7782
3, -88.9246, 207.55, 1815.69, 199.982, 763.95, 11.9167
3, -88.9252, 207.551, 1815.62, 199.984, 763.881, 12.0551
3, -88.9263, 207.553, 1815.52, 199.988, 763.786, 12.1934
3, -88.9272, 207.554, 1815.45, 199.99, 763.717, 12.3315
3, -88.9277, 207.554, 1815.39, 199.993, 763.657, 12.4696
3, -88.9282, 207.556, 1815.32, 199.996, 763.585, 12.6075
3, -88.9284, 207.556, 1815.28, 199.997, 763.538, 12.7454
3, -88.9294, 207.558, 1815.16, 200.002, 763.426, 12.8832
3, -88.93, 207.559, 1815.11, 200.003, 763.376, 13.0209
3, -88.9311, 207.56, 1815.03, 200.007, 763.289, 13.1585
3, -88.9319, 207.561, 1814.98, 200.009, 763.239, 13.2961
3, -88.9331, 207.562, 1814.91, 200.011, 763.169, 13.4335
3, -88.9351, 207.563, 1814.79, 200.016, 763.056, 13.708
3, -88.9358, 207.564, 1814.72, 200.019, 762.98, 13.8451
3, -88.9362, 207.565, 1814.67, 200.02, 762.93, 13.8451
3, -88.9366, 207.566, 1814.61, 200.022, 762.877, 13.982
3, -88.9372, 207.567, 1814.52, 200.026, 762.782, 14.1188
3, -88.9377, 207.569, 1814.41, 200.03, 762.675, 14.2555
3, -88.9379, 207.57, 1814.35, 200.032, 762.614, 14.3922
3, -88.9379, 207.571, 1814.28, 200.035, 762.542, 14.529
3, -88.9377, 207.572, 1814.21, 200.038, 762.475, 14.6658
3, -88.9376, 207.573, 1814.12, 200.041, 762.387, 14.8025
3, -88.9377, 207.574, 1814.05, 200.044, 762.311, 14.9392
3, -88.9384, 207.575, 1813.94, 200.048, 762.206, 15.0757
3, -88.939, 207.577, 1813.87, 200.051, 762.131, 15.212
3, -88.9395, 207.578, 1813.79, 200.054, 762.049, 15.3483
3, -88.9398, 207.579, 1813.7, 200.057, 761.969, 15.4844
3, -88.9403, 207.581, 1813.58, 200.062, 761.847, 15.6203
3, -88.941, 207.582, 1813.5, 200.065, 761.765, 15.7563
3, -88.942, 207.583, 1813.41, 200.068, 761.675, 15.8921
3, -88.9426, 207.584, 1813.36, 200.07, 761.629, 16.0277
3, -88.9434, 207.585, 1813.28, 200.073, 761.547, 16.1634
3, -88.9445, 207.587, 1813.13, 200.079, 761.399, 16.299
3, -88.945, 207.589, 1813.04, 200.082, 761.306, 16.4345
3, -89.5399, 204.309, 1811.86, 196.832, 760.046, 20.8825
3, -89.5454, 204.31, 1811.81, 196.833, 759.995, 20.9848
3, -89.5559, 204.31, 1811.71, 196.836, 759.896, 21.0881
3, -89.5701, 204.311, 1811.58, 196.84, 759.763, 21.1921
3, -89.5891, 204.312, 1811.41, 196.846, 759.594, 21.2967
3, -89.6029, 204.313, 1811.29, 196.849, 759.476, 21.4016
3, -89.6185, 204.314, 1811.16, 196.853, 759.348, 21.507
3, -89.6285, 204.314, 1811.08, 196.855, 759.266, 21.6126
3, -89.6403, 204.315, 1810.98, 196.858, 759.169, 21.7195
3, -89.6525, 204.316, 1810.88, 196.861, 759.066, 21.8268
3, -89.6726, 204.317, 1810.7, 196.867, 758.887, 21.935
3, -89.6843, 204.317, 1810.59, 196.87, 758.778, 22.0439
3, -89.6954, 204.318, 1810.48, 196.873, 758.671, 22.1536
3, -89.7026, 204.318, 1810.41, 196.875, 758.599, 22.2636
3, -89.7207, 204.319, 1810.17, 196.882, 758.356, 22.3748
3, -89.7237, 204.32, 1810.08, 196.884, 758.264, 22.4875
3, -89.7244, 204.32, 1809.98, 196.887, 758.167, 22.609
3, -89.7203, 204.32, 1809.85, 196.89, 758.041, 22.7424
3, -89.7132, 204.32, 1809.74, 196.893, 757.933, 22.8706
3, -89.7001, 204.32, 1809.56, 196.897, 757.753, 23.0058
3, -89.6934, 204.32, 1809.45, 196.9, 757.64, 23.1492
3, -89.6862, 204.321, 1809.31, 196.903, 757.499, 23.2985
3, -89.6815, 204.321, 1809.21, 196.906, 757.394, 23.4514
3, -89.674, 204.321, 1809.03, 196.91, 757.221, 23.6051
3, -89.6694, 204.322, 1808.91, 196.914, 757.099, 23.7575
3, -89.6653, 204.322, 1808.79, 196.917, 756.981, 23.9076
3, -89.661, 204.322, 1808.66, 196.92, 756.847, 24.0551
3, -89.6586, 204.323, 1808.58, 196.922, 756.766, 24.1996
3, -89.6545, 204.323, 1808.43, 196.926, 756.624, 24.3413
3, -89.6497, 204.324, 1808.25, 196.931, 756.44, 24.4807
3, -89.6461, 204.324, 1808.1, 196.935, 756.289, 24.6187
3, -89.6441, 204.324, 1808.01, 196.938, 756.204, 24.7561
3, -89.6413, 204.325, 1807.89, 196.941, 756.081, 24.8935
3, -89.6381, 204.326, 1807.75, 196.945, 755.937, 25.0311
3, -89.6335, 204.326, 1807.55, 196.95, 755.735, 25.1693
3, -89.6313, 204.327, 1807.45, 196.953, 755.642, 25.3081
3, -89.6287, 204.327, 1807.34, 196.956, 755.533, 25.4475
3, -89.6258, 204.328, 1807.22, 196.959, 755.413, 25.5871
3, -89.6223, 204.328, 1807.08, 196.963, 755.274, 25.7269
3, -89.6156, 204.329, 1806.83, 196.97, 755.024, 25.8668
3, -89.6123, 204.33, 1806.72, 196.973, 754.906, 26.0064
3, -89.6077, 204.331, 1806.55, 196.978, 754.745, 26.1457
3, -89.6045, 204.331, 1806.44, 196.981, 754.631, 26.2846
3, -89.6017, 204.332, 1806.33, 196.984, 754.525, 26.4231
3, -89.5955, 204.333, 1806.08, 196.991, 754.275, 26.5613
3, -89.5924, 204.333, 1805.96, 196.995, 754.147, 26.6992
3, -89.5885, 204.334, 1805.79, 197, 753.982, 26.8368
3, -89.5865, 204.335, 1805.71, 197.002, 753.899, 26.9743
3, -89.5841, 204.335, 1805.61, 197.005, 753.8, 27.1115
3, -89.5772, 204.337, 1805.33, 197.013, 753.521, 27.2486
3, -89.5739, 204.337, 1805.19, 197.017, 753.385, 27.3855
3, -89.5704, 204.338, 1805.05, 197.021, 753.244, 27.5223
3, -89.5676, 204.339, 1804.94, 197.024, 753.128, 27.659
3, -89.5644, 204.339, 1804.81, 197.028, 753, 27.7956
3, -89.5588, 204.341, 1804.59, 197.034, 752.78, 27.9323
3, -89.5549, 204.341, 1804.44, 197.039, 752.629, 28.0688
3, -89.5508, 204.342, 1804.28, 197.043, 752.469, 28.2052
3, -89.5481, 204.343, 1804.17, 197.046, 752.36, 28.3414
3, -89.5452, 204.344, 1804.05, 197.05, 752.246, 28.4775
3, -89.5382, 204.345, 1803.77, 197.058, 751.965, 28.6134
3, -89.5357, 204.346, 1803.67, 197.061, 751.862, 28.7492
3, -89.5319, 204.347, 1803.51, 197.066, 751.704, 28.8849
3, -89.5292, 204.348, 1803.4, 197.069, 751.59, 29.0203
3, -89.5259, 204.348, 1803.26, 197.073, 751.452, 29.1557
3, -89.5192, 204.35, 1802.97, 197.082, 751.159, 29.2909
3, -89.5163, 204.351, 1802.84, 197.086, 751.029, 29.4259
3, -89.5134, 204.352, 1802.7, 197.09, 750.894, 29.5608
3, -89.5108, 204.353, 1802.58, 197.094, 750.775, 29.6955
3, -89.5077, 204.354, 1802.44, 197.098, 750.631, 29.83
3, -89.502, 204.356, 1802.14, 197.107, 750.336, 29.9645
3, -89.4998, 204.357, 1802.01, 197.111, 750.203, 30.0987
3, -89.4967, 204.358, 1801.83, 197.116, 750.023, 30.2329
3, -89.4952, 204.359, 1801.74, 197.119, 749.931, 30.367
3, -89.4927, 204.36, 1801.58, 197.124, 749.769, 30.5009
3, -89.4895, 204.361, 1801.33, 197.132, 749.526, 30.6349
3, -89.4877, 204.363, 1801.17, 197.137, 749.361, 30.7688
3, -89.486, 204.364, 1800.99, 197.142, 749.18, 30.9026
3, -89.4853, 204.365, 1800.9, 197.145, 749.09, 31.0364
3, -89.4844, 204.366, 1800.75, 197.15, 748.939, 31.17
3, -89.4832, 204.368, 1800.47, 197.158, 748.668, 31.3034
3, -89.4828, 204.369, 1800.29, 197.164, 748.483, 31.4367
3, -89.4827, 204.37, 1800.12, 197.169, 748.318, 31.5697
3, -89.4828, 204.371, 1800.03, 197.172, 748.221, 31.7025
3, -89.483, 204.372, 1799.87, 197.177, 748.067, 31.8352
3, -89.4845, 204.374, 1799.55, 197.186, 747.745, 32.1003
3, -89.4856, 204.376, 1799.38, 197.192, 747.576, 32.1003
3, -89.4863, 204.376, 1799.3, 197.194, 747.492, 32.2327
3, -89.488, 204.378, 1799.08, 197.201, 747.27, 32.3651
3, -89.4889, 204.379, 1798.96, 197.205, 747.155, 32.4973
3, -89.4909, 204.381, 1798.71, 197.213, 746.9, 32.6295
3, -89.4926, 204.382, 1798.52, 197.218, 746.71, 32.7616
3, -89.4938, 204.383, 1798.39, 197.222, 746.587, 32.8937
3, -89.4955, 204.384, 1798.23, 197.227, 746.424, 33.0258
3, -89.4972, 204.385, 1798.07, 197.232, 746.268, 33.158
3, -89.5014, 204.388, 1797.74, 197.242, 745.935, 33.2901
3, -89.5037, 204.389, 1797.57, 197.247, 745.769, 33.4223
